0: obj_backgrounder_parent
237: obj_gyftrotbody
238: obj_gyftrotmouth
239: obj_greatdogbody
240: obj_dogeB
241: obj_mandogbody
242: obj_womandogbody
243: obj_mandogax
244: obj_womandogax
245: obj_mandog
246: obj_womandog
247: obj_movedoge
248: obj_movedogehead
249: obj_movedogebody
250: obj_movedogearms
251: obj_movedogetail
252: obj_snowdrake
253: obj_chilldrake
254: obj_drakehead
255: obj_drakebody
256: obj_woshua
257: obj_woshpart
258: obj_woshbody
259: obj_shyren
260: obj_shyrenbody
261: obj_agentbody
262: obj_undynesiner2
263: obj_spearblocker
264: obj_greenspeargen
265: obj_blockbullet
266: obj_blockbullet2
267: obj_boxsiner
268: obj_risespearbullet
269: obj_risespearbulletgen
270: obj_spearbulletfollowgen
271: obj_spearbullet_follow
272: obj_undyneboss
273: obj_undyneb_body
274: obj_undynebody2
275: obj_undynebattle2
276: obj_rotspeargen_gen
277: obj_rotspeargen
278: obj_rotspear
279: obj_followspeargen_2
280: obj_followspear_2
281: obj_undynex_body
282: obj_undyne_ex
283: obj_mkid_b_body
284: obj_mkid_battle
285: obj_generalsiner
286: obj_gladdummy
287: obj_maddummy
288: obj_maddum_drawer
289: obj_aaron
290: obj_aaronbody
291: obj_tembattle
292: obj_moldsmalx_part
293: obj_moldsmalx
294: obj_tembody
295: obj_moldsmalx_body
296: obj_shockermaker
297: obj_mettatonb_quiz
298: obj_mettatonb_second
299: obj_mettatonb_third
300: obj_mettatonnn_writer
301: obj_mettatonb_body
302: obj_mettatonb_body2
303: obj_zoomaton
304: obj_jarfly
305: obj_flyjar
306: obj_answernodule
307: obj_questionasker
308: obj_greenarmor
309: obj_bara01
310: obj_bara02
311: obj_bara03
312: obj_bara04
313: obj_warplinegen
314: obj_xbulletgen
315: obj_xbullet
316: obj_warplinebullet
317: obj_sweat99
318: obj_barabody
319: obj_exhaustbullet
320: obj_vertplanegreen
321: obj_vertplanebullet
322: obj_vertplanegen
323: obj_incendiary
324: obj_incendiarybomb
325: obj_sideplanebullet
326: obj_incendiarygen
327: obj_tsunderplane
328: obj_planeexhaust
329: obj_tsunderplane_body
330: obj_vulkinlightning
331: obj_vulkincloudbul
332: obj_lavabullet
333: obj_sidelava
334: obj_lavafiregen
335: obj_vulkincloud
336: obj_vulkinbody
337: obj_vulkin
338: obj_orangefire
339: obj_ropebul
340: obj_ropebulgen
341: obj_heatwaver
342: obj_pyropebody
343: obj_pyrope
344: obj_blastbul
345: obj_bombbul
346: obj_bombgen
347: obj_grosscupcake2
348: obj_spiderbulletparent
349: obj_hideouscupcake
350: obj_fakeborderdraw
351: obj_donutbullet
352: obj_spiderbulletgen
353: obj_spiderbullet
354: obj_vertspider
355: obj_croissant
356: obj_vertcroissant
357: obj_signspider
358: obj_telegramspider
359: obj_sadspider
360: obj_spiderb
361: obj_spiderpour
362: obj_spiderb_body
363: obj_purpleheart
364: obj_crosszap
365: obj_wizardorb_wall
366: obj_wizardorb_chaser
367: obj_orbsprinkle
368: obj_wizardbody
369: obj_wizard
370: obj_hammergen
371: obj_knighthammer
372: obj_sunbullet
373: obj_meteorshine
374: obj_meteorbullet
375: obj_skymoon
376: obj_sunmoon
377: obj_skyorb
378: obj_finalknight
379: obj_finalknight_body
380: obj_megaflybulletgen
381: obj_megaflybullet
382: obj_frogbullet_gen
383: obj_frogbullet_ex
384: obj_frogbullet_ex_old
385: obj_finalfroggit
386: obj_finalfroggit_body
387: obj_astigmatism
388: obj_astigmatism_body
389: obj_stromboli
390: obj_astigmatismgen
391: obj_stromboligen
392: obj_sonbullet
393: obj_astigmatism_bullet
394: obj_whimsalot
395: obj_butterflybullet_2
396: obj_whimsalot_body
397: obj_butterflybullet_gen_2
398: obj_butterflybullet_gen
399: obj_butterflybullet
400: obj_battlebomb_body
401: obj_battlebomb
402: obj_ratingsmaster
403: obj_mettatonex
404: obj_stagecloud
405: obj_mett_bossintro
406: obj_mettshine
407: obj_fallofflimb
408: obj_mettb_body
409: obj_essaystuff
410: obj_startroom_pl
411: obj_gameover_test_pl
412: obj_nextbattle_pl
413: obj_metttestbulletparent
414: obj_mettattackgen
415: obj_happybreaktime
416: obj_legline_l
417: obj_legline_r
418: obj_bulletblocker
419: obj_bulletbomb
420: obj_mettheart_parent
421: obj_mettheart_1
422: obj_mettheart_2
423: obj_mettheart_3
424: obj_mettheart_4
425: obj_brokenpiece
426: obj_discoball_pl
427: obj_bobskids
428: obj_bigbob
429: obj_eggbullet_pl
430: obj_eggcarton_pl
431: obj_mettfodder
432: obj_dancemett
433: obj_mettlightning_pl
434: obj_kissybullet_pl
435: obj_blackbox_rewinder
436: obj_mettstick
437: obj_metthand_l
438: obj_metthand_r
439: obj_mettleg_l
440: obj_mettleg_r
441: obj_plusbomb_explosion
442: obj_blackbox_pl
443: obj_upbox_pl
444: obj_upbox_new_pl
445: obj_plusbomb
446: obj_heartshot_pl
447: obj_heart_pl
448: obj_starburst_x
449: obj_mettheart_burst
450: obj_mettaton_neo
451: obj_mneo_body
452: obj_doodleball
453: obj_doodlebug_body
454: obj_doodlebug
455: obj_doodlebullet
456: obj_sorry_trashball
457: obj_sorrybody
458: obj_sosorry
459: obj_randomhandgen
460: obj_handbulletgen
461: obj_handbullet_new
462: obj_firestormgen
463: obj_asgorebulparent
464: obj_asgoreattackgen
465: obj_sidedam
466: obj_sinefiregen_asg_lv1
467: obj_sinefiregen_asg_lv2_usethis
468: obj_sinefiregen_asglv3
469: obj_helixfiregen
470: obj_cfiregen
471: obj_sided_fire
472: obj_genericfire
473: obj_cfire
474: obj_sinefire_asghelix
475: obj_asgore_spearswipe
476: obj_asgore_spearswipegen
477: obj_eyeflash
478: obj_asgoreb
479: obj_mercybutton_part
480: obj_mercybutton_shatter
481: obj_asgorefakespear
482: obj_asgore_finalintro
483: obj_purplegradienter
484: obj_orangeparticlegen
485: obj_orangeparticle
486: obj_spearafterimage
487: obj_spearafterimage2
488: obj_asgoreb_body
489: obj_asgorespear
490: obj_asgfakeheart
491: obj_spinbullet_last
492: obj_spinbullet_lastgen
493: obj_asgore_lastcutscene
494: obj_floweygonk
495: obj_gameshake
496: obj_truechara
497: obj_sansbullet_parent
498: obj_gasterblaster
499: obj_sans_bonebul
500: obj_bonewall_normal
501: obj_bonewall
502: obj_bonestab
503: obj_boneloop_v
504: obj_menubone_bottom
505: obj_menubone
506: obj_s_fakefightbt
507: obj_emptyborder_s
508: obj_sans_z_battle
509: obj_strike_temp
510: obj_menubone_maker
511: obj_sansshadowgen
512: obj_sans_shaker
513: obj_vplatgen
514: obj_3platgen
515: obj_boneplat
516: obj_heart_sansbattle
517: obj_sansb_body
518: obj_gasterbl_gen
519: obj_sansb
520: obj_white_ender
521: obj_black_ender
522: obj_flowey_wilt
523: obj_storybattle_gen
524: obj_melonbulgen
525: obj_melonbullet
526: obj_melontooth
527: obj_meloneye
528: obj_lemonbread
529: obj_lemonbread_body
530: obj_amalgambul_parent
531: obj_clawfailuregen
532: obj_clawbullet_failure
533: obj_clawbullet_gravityfailure
534: obj_strangeman_head
535: obj_butterflyhead
536: obj_strangeman_headloss
537: obj_strangeman_butterfly
538: obj_strangeman_intro
539: obj_insanetri
540: obj_insanesq
541: obj_freakbulletgen
542: obj_freakbullet
543: obj_dogmissle
544: obj_amalgam_laserdog
545: obj_amalgam_rocketdog
546: obj_amalgam_tooth
547: obj_amalgam_biter
548: obj_heart_deletelater
549: obj_reaperbird_body
550: obj_reaperbird
551: obj_snowdrakemom_body
552: obj_snowdrakemom
553: obj_memoryhead_body
554: obj_memoryhead
555: obj_endogeny
556: obj_endogeny_body
557: obj_screenwhiter
558: obj_ripoff_undyne
559: obj_ripoff_papyrus
560: obj_ripoff_sans
561: obj_ripoff_alphys
562: obj_ripoff_toriel
563: obj_ripoff_asgore
564: obj_asrielb
565: obj_asrielfinal
566: obj_asrielpanels
567: obj_heart_another
568: obj_afinal_body
569: obj_asriel_body
570: obj_roundedge
571: obj_afterimage_asriel
572: obj_handlightning
573: obj_ultimatarget
574: obj_blastorb
575: obj_ultimagen
576: obj_ultimabullet
577: obj_lastbeam
578: obj_explodestar
579: obj_regstar_blt
580: obj_stormstar_gen
581: obj_stormstar
582: obj_gunarm_bolt
583: obj_gunarm_firepattern
584: obj_rainbowtarget
585: obj_rainbowbolt_testgen
586: obj_rainbowbolt_realgen
587: obj_rainbowbolt
588: obj_swordtwinkle
589: obj_asriel_swordmaster
590: obj_asriel_swordarm
591: obj_asbulletparent
592: obj_hg_wholescreen
593: obj_hg_debris
594: obj_hg_body
595: obj_migospel
596: obj_migospel_body
597: obj_parsnik
598: obj_parsnik_body
599: obj_moldessa_body
600: obj_moldessa
601: obj_torboss_2ndtime
602: obj_hard_dog
603: obj_monster_extrabody
604: obj_basicmonster
605: obj_monsterparent
606: obj_torielflame_X
607: obj_radialfakegen
608: obj_radialfakegenx
609: obj_friendlypellet
610: obj_fakepellet
611: blt_chasefire1
612: blt_floatfire
613: blt_chasefire2
614: blt_handbullet1
615: blt_handbullet2
616: blt_hoopbullet1
617: blt_firehelix1
618: blt_minihelix
619: blt_avoidfire
620: blt_hoopbullet2
621: blt_blookhat
622: blt_splinterbig
623: blt_splinter
624: blt_butterfly1
625: blt_leapfrog
626: blt_roachdance
627: blt_butterfly2
628: blt_roachbullet
629: blt_vegbullet
630: blt_gravbullet
631: blt_flybullet
632: blt_crybullet
633: blt_crybullet2
634: blt_streambullet
635: blt_pollendrop
636: blt_scootdog
637: blt_coolbus
638: blt_superbone
639: blt_tobydogbone
640: blt_potentiallyblue
641: blt_dogspear
642: blt_barkbullet
643: blt_sadbullet
644: blt_hat
645: blt_icicle
646: blt_clawbullet_white
647: blt_4sidebullet
648: blt_tinypom_leap
649: blt_whitespear
650: obj_iceteeth
651: blt_sizebone
652: blt_topbone
653: blt_bluespear
654: blt_pblueattack
655: blt_bluesword
656: blt_whiteax
657: blt_loopbulletgrow
658: blt_dummyknife
659: blt_dummybullet
660: blt_dummyshot
661: blt_dummymissle
662: obj_maintem
663: obj_temleg
664: blt_musbul1
665: blt_growbullet
666: blt_soapbul
667: blt_shinebullet
668: blt_stalk1
669: blt_stalk2
670: blt_stalkloop
671: blt_temhand
672: blt_sweatdrop
673: blt_uspear
674: blt_muscbul
675: obj_blackboxtest
676: obj_blackboxpart
677: obj_bluelaser_b
678: blt_parent
679: blt_parent_noborder
680: blt_direct
681: blt_thatch
682: blt_gen
683: blt_laser
684: obj_giftgen
685: obj_blueattackgen
686: obj_sleepdog
687: obj_loopdog
688: obj_loopbulletgrowgen
689: obj_musbulgen
690: obj_woshspiralgen
691: obj_stalkergen
692: obj_8smallgen
693: obj_sweatbulgen
694: obj_muscbulgen
695: obj_quickgen
696: obj_blackbulletgen1
697: obj_carrotshot
698: obj_stardrop
699: obj_carrotstargen
700: obj_torgen
701: obj_rotategen
702: obj_butterfly2gen
703: obj_bulletgenthatched
704: obj_lasergen1
705: obj_bulletgenparent
706: obj_bulletgen1
707: obj_crygen1
708: obj_crygen2
709: obj_crygen3
710: obj_sadmsggen
711: obj_allaroundgen
712: obj_4sidegen
713: obj_1sidegen
714: obj_gyftgen
715: obj_hoopgen1
716: obj_lightpunch
717: obj_strongpunch
718: obj_battlethingparent
719: obj_targetparent
720: obj_fadebar
721: obj_xtarget
722: obj_ztarget
723: obj_fisttargettest
724: obj_knifetargettest
725: obj_shoetargettest
726: obj_notebook_attackanim
727: obj_gunshot_stab
728: obj_gunshot_star
729: obj_gunshot_2
730: obj_frypan_star
731: obj_frypan_impact
732: obj_pressZ
733: obj_slice
734: obj_targetchoice
735: obj_targetchoiceshoe
736: obj_targetchoicefist
737: obj_targetchoiceHITSEVERYONE
738: obj_target
739: obj_heartshot
740: obj_heartshot_bounceaway
741: obj_growheart
742: obj_cutsceneheart
743: obj_heart
744: obj_heartdefeated
745: obj_torheart
746: obj_heartshard
747: obj_theartshard
748: obj_fakeheart
749: obj_dateheart
750: obj_fightbt
751: obj_talkbt
752: obj_itembt
753: obj_spellbt
754: obj_sparebt
755: obj_btparent
756: obj_anybt
757: obj_borderparent
758: obj_lborder
759: obj_uborder
760: obj_rborder
761: obj_dborder
762: obj_growshrink
763: obj_torface
764: obj_torbody
765: obj_face_torieltalk
766: obj_face_torglasses
767: obj_face_torielblink
768: obj_face_floweytalk
769: obj_floface
770: obj_face_alphys
771: obj_face_asgore
772: obj_face_asriel
773: obj_face_mettaton
774: obj_face
775: obj_face_papyrus
776: obj_face_sans
777: obj_face_undyne
778: obj_storagemenu
779: obj_dialoguer
780: OBJ_WRITERCREATOR
781: OBJ_BLCON
782: OBJ_WRITER
783: obj_choicer
784: OBJ_NOMSCWRITER
785: OBJ_INSTAWRITER
786: obj_door_t
787: obj_door_u
788: obj_door_ruins13
789: obj_door_s_musfade
790: obj_door_w
791: obj_door_v
792: obj_demodoorA
793: obj_doorparent
794: obj_markerB
795: obj_markerC
796: obj_markerD
797: obj_markerX
798: obj_markerw
799: obj_markerv
800: obj_markeru
801: obj_markert
802: obj_markers
803: obj_markerr
804: obj_exitmarker3
805: obj_doorA
806: obj_doorB
807: obj_doorC
808: obj_doorD
809: obj_doorCmusicfade
810: obj_doorDmusicfade
811: obj_doorAmusicfade
812: obj_doorXmusicfade
813: obj_doorBmusicfade
814: obj_markerA
815: obj_stairstep
816: obj_solidrailing
817: obj_solidrailing2
818: obj_solidrailing3
819: obj_staircollission
820: obj_solidparent
821: obj_redswitch_1
822: obj_blueswitch_1
823: obj_greenswitch_1
824: obj_bigpie
825: obj_readable_flowers1
826: obj_readable_switch1
827: obj_switchadvice1
828: obj_switchadvice2
829: obj_readable_plaque_1
830: obj_readable_plaque_2
831: obj_nastytree
832: obj_cactus
833: obj_hearthflame
834: obj_smallfrog
835: obj_smallfrog_xadvice
836: obj_smallchair
837: obj_kitchentable
838: obj_lchair
839: obj_rchair
840: obj_uchair
841: obj_nastrytree_bottom
842: obj_dummy1
843: obj_readable_sign1
844: obj_readable_sign2
845: obj_papyrussign
846: obj_ribbon_pickup
847: obj_knife_pickup
848: obj_pie_pickup
849: obj_cheesetable1
850: obj_napstablook1
851: obj_vegetoid_overworld
852: obj_napstablook2
853: obj_candydish1
854: obj_candydish2
855: obj_smallweb
856: obj_bigweb
857: obj_pillar_1
858: obj_downstairs
859: obj_toroverworld2
860: obj_toroverworld1
861: obj_toroverworld3
862: obj_toroverworld4
863: obj_torhandhold1
864: obj_toroverworld5
865: obj_toroverworld6
866: obj_toroverworld7
867: obj_torinteractable1
868: obj_torinteractable7
869: obj_chairiel
870: obj_torinteractable2
871: obj_torinteractable3
872: obj_torinteractable4
873: obj_torinteractable5
874: obj_torinteractable6
875: obj_floweytalker1
876: obj_pbflame
877: obj_toribuster
878: obj_floweytrigger
879: obj_floweytrigger2
880: obj_torieltrigger1
881: obj_torieltrigger2
882: obj_torieltrigger3
883: obj_torieltrigger4
884: obj_tordogcall
885: obj_torieltrigger5
886: obj_torieltrigger6
887: obj_torieltrigger7
888: obj_torieltrigger8
889: obj_torieltrigger9
890: obj_torieltrigger10
891: obj_torieltrigger11
892: obj_torieltrigger12
893: obj_switchhelptrigger
894: obj_torgen_house1
895: obj_encountertrigger1
896: obj_plotwall1
897: obj_plotwall2
898: obj_plotwall3
899: obj_plotwall4
900: obj_plotwall5
901: obj_plotwall6
902: obj_rock_activator
903: obj_torielcall1
904: obj_torielcall2
905: obj_torielcall3
906: obj_torielcall4
907: obj_torielcall5
908: obj_finaldoor
909: obj_spiketile1
910: obj_spiketile2
911: obj_pushrock1
912: obj_pushrock2
913: obj_pushrock3
914: obj_goofyrock
915: obj_holedown
916: obj_holedown3
917: obj_holedown2
918: obj_sockdrawer
919: obj_asriellamp
920: obj_asrielbed
921: obj_cosmetichole
922: obj_holeup
923: obj_holeup2
924: obj_floorswitch1
925: obj_wallswitchcut1
926: obj_plotswitch1
927: obj_mousehole
928: obj_plotswitch2
929: obj_ruinsdoor1
930: obj_mirrorreflection
931: obj_plotswitch3
932: obj_singletree
933: obj_ladiesfishingrod
934: obj_dogtreat
935: obj_chewtoy
936: obj_doggiebed
937: obj_dogfood
938: obj_sanssnowman
939: obj_papyrussnowman
940: obj_smalldoghouse
941: obj_snowpoff
942: obj_snowdecahedron
943: obj_switch
944: obj_spaghetti
945: obj_microwave
946: obj_spagnot
947: obj_papcheckpoint
948: obj_sanscheckpoint
949: obj_nicecreamguy
950: obj_crossword
951: obj_nicesnowman
952: obj_dtrapfire
953: obj_dogpillar3
954: obj_dogpillar4
955: obj_dogpillar5
956: obj_dogpillarparent
957: obj_dogneck2
958: obj_dogneck3
959: obj_dogneck4
960: obj_dogneck5
961: obj_dogneckparent
962: obj_dogpillar2
963: obj_sansbasemententer
964: obj_teleigloo
965: obj_ruins_reentrance
966: obj_waterdivot_test
967: obj_icecube_room
968: obj_icecube_water1
969: obj_tinybgman
970: obj_tinybghouse
971: obj_tinybgpuff
972: obj_fogmaker
973: obj_fogmaker_complex
974: obj_dogpoff
975: obj_xoxo
976: obj_xoxocontroller1
977: obj_falltransition
978: obj_superdrophole
979: obj_specialdrophole
980: obj_dogehouse
981: obj_dogehouseback
982: obj_tundragatebar
983: obj_stick
984: obj_fakedarksans
985: obj_snowfloor
986: obj_creeptree1
987: obj_creeptree_stickbreak
988: obj_creeptree_sansmaker
989: obj_convenientlamp
990: obj_darksanstrigger
991: obj_sansbyetrigger
992: obj_papyrus1
993: obj_specialtile
994: obj_shockblock
995: obj_orbhead
996: obj_mandog_actor
997: obj_womandog_actor
998: obj_papyrus2
999: obj_papyrus3
1000: obj_papyrus4
1001: obj_papyrus5
1002: obj_papyrus6
1003: obj_papyrus7
1004: obj_papyrus8
1005: obj_golfedge
1006: obj_papyrussteps
1007: obj_puzzlewall1
1008: obj_puzzlewall2
1009: obj_dogetrigger1
1010: obj_dogringbell
1011: obj_forcedright
1012: obj_pofftrigger
1013: obj_fakesanstrigger
1014: obj_rollsnowgen
1015: obj_golfhole
1016: obj_rollgrow
1017: obj_rollsnow
1018: obj_iceflag
1019: object466
1020: obj_darksans1
1021: obj_sans_interactable1
1022: obj_sans_room
1023: obj_doublesans
1024: obj_dogroom_npc
1025: obj_papyrusparent
1026: obj_papyrus_room
1027: obj_papyrus_guide
1028: obj_papyrus_hisroom
1029: obj_papyrus_houseoutside
1030: obj_sanssteps
1031: obj_papyrus_actor_mad
1032: obj_papyrus_actor
1033: obj_sans_actor
1034: obj_telescope
1035: obj_starchecker
1036: obj_undyneencounter1
1037: obj_undyneencounter2
1038: obj_undyneencounter3
1039: obj_undyneencounter4
1040: obj_magicstar
1041: obj_nospear
1042: obj_undynespear
1043: obj_undynespear_shadow
1044: obj_spearshadow
1045: obj_uspeargen
1046: obj_speartilegen
1047: obj_speartilefake
1048: obj_speartile
1049: obj_napstafridge
1050: obj_garbagepile
1051: obj_garbagefridge
1052: obj_undynetrash
1053: obj_garbagecooler
1054: obj_assortedtrash
1055: obj_damndummy
1056: obj_bonedrawer
1057: obj_potstir
1058: obj_bonedrawer_check
1059: obj_spaghot
1060: obj_potheat
1061: obj_undyne_actor
1062: obj_controlspear
1063: obj_undynedate_inside
1064: obj_undynedate_outside
1065: obj_undynedate_afterward
1066: obj_glassshard
1067: obj_undynewindow_foreground
1068: obj_undynewindow
1069: obj_undyne_throwspear
1070: obj_undynespear_anim1
1071: obj_papyrus_window
1072: obj_foodbreak
1073: obj_riverman
1074: obj_dogboat_thing
1075: obj_dogboat_pillar
1076: obj_onionsan_event
1077: obj_onionbody
1078: obj_oniont
1079: obj_water_doomreminder
1080: obj_blookdiary
1081: obj_blookhouses
1082: obj_foreground_waterfall
1083: obj_glowstone
1084: obj_waterpillar
1085: obj_inwaterspot
1086: obj_indryspot
1087: obj_wakeupchara
1088: obj_tobdog_pendant
1089: obj_sentrystation_bg
1090: obj_sans_sentry2
1091: obj_grasssounder
1092: obj_tallgrass
1093: obj_starker
1094: obj_quicheguilt
1095: obj_waterripple
1096: obj_proxglower
1097: obj_glowshroompuzzle
1098: obj_darknesspuzzle
1099: obj_darkness_undyne
1100: obj_undyne_echoflower
1101: obj_glowshroom
1102: obj_darknesslantern
1103: obj_cosmetic_glowstar
1104: obj_cosmeticecho
1105: obj_groundtorch
1106: obj_torchpuzzle
1107: obj_boardride_a
1108: obj_runaway
1109: obj_fakedoor
1110: obj_waterboardpuzzle1
1111: obj_bellblossom
1112: obj_waterspot
1113: obj_waterstop
1114: obj_waterboard
1115: obj_mkid_actor
1116: obj_mkid_shadow
1117: obj_undynea_actor
1118: obj_undynea_chaser
1119: obj_undynea_actor2
1120: obj_monsterkidtrigger1
1121: obj_monsterkidtrigger2
1122: obj_monsterkidtrigger3
1123: obj_monsterkidtrigger4
1124: obj_monsterkidtrigger5
1125: obj_monsterkidtrigger6
1126: obj_monsterkidtrigger7
1127: obj_monsterkidtrigger8
1128: obj_undynetrigger_boss2
1129: obj_undynetrigger_boss
1130: obj_dummytrigger
1131: obj_napstablookfriendtrigger
1132: obj_napstablook_actor
1133: obj_napstablookdate
1134: obj_napstablookdate_music
1135: obj_napstablook_cd
1136: obj_waterpushrockgen
1137: obj_waterpushrock
1138: obj_waterpushrock_2
1139: obj_orangeattackNPC
1140: obj_snail2
1141: obj_snail3
1142: obj_snailguy
1143: obj_stable
1144: obj_redacted_a
1145: obj_napstablook_farm1
1146: obj_napstablook_farm2
1147: obj_rarependant
1148: obj_fearundynenpc1
1149: obj_umbrellabox
1150: obj_statueplink
1151: obj_normalplink
1152: obj_statuedrop
1153: obj_normaldrop
1154: obj_puddle
1155: obj_umbrellamask
1156: obj_rainer
1157: obj_musicstatue
1158: obj_echoflower
1159: obj_fearundynenpc2
1160: obj_carrybird
1161: obj_undyne1
1162: obj_papyrus_undyne1_actor
1163: obj_shyrenstrewn
1164: obj_undyne1_old
1165: obj_shyrentrigger
1166: obj_undyne_blockwrecker
1167: obj_purpledude
1168: obj_piano
1169: obj_paino
1170: obj_alphys_npc
1171: obj_alphys_actor
1172: obj_mettaton_actor
1173: obj_mettaton_npc
1174: obj_flychara_placeholder
1175: obj_failegg
1176: obj_milkofhell_splatter
1177: obj_milkofhell_drop
1178: obj_sugarbullet_drop
1179: obj_milkofhell_shot
1180: obj_sugarbullet
1181: obj_mett_eggbullet
1182: obj_trueflymett
1183: obj_kitchenforcefield
1184: obj_cookhud
1185: obj_jetpackchara
